序号,代码,名称,最新价 2026.04.16,涨跌幅(%) 2026.04.16,市场码,市场名,指数小类,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额 2026.04.16,市盈率(TTM) 2026.04.16,总市值(元) 2026.04.16
1,850771,工程机械整机(申万),20852.34,-1.43,62,SWI,申万三级行业,-301.87,21454.65,20576.78,0.00,1.45,8.62亿,91.15亿,18.70,5966.51亿
2,857243,国际工程(申万),1744.59,-1.20,62,SWI,申万三级行业,-21.19,1772.32,1720.63,0.00,0.82,2.81亿,31.75亿,14.18,688.27亿
3,851542,医药流通(申万),3073.55,-1.18,62,SWI,申万三级行业,-36.59,3123.26,3030.67,0.00,1.18,12.59亿,93.20亿,19.69,2675.84亿
4,801154,医药商业(申万),5263.86,-0.99,62,SWI,申万二级行业,-52.63,5341.91,5192.74,0.00,1.18,13.71亿,113.47亿,20.01,3533.48亿
5,857323,电工仪器仪表(申万),9951.49,-0.86,62,SWI,申万三级行业,-86.20,10128.74,9712.57,0.00,1.35,1.52亿,36.49亿,28.40,874.23亿
